Alias	DSP.1001250007851.H.A02	DSP.1001250007851.H.A03	DSP.1001250007851.H.A04	DSP.1001250007851.H.A05	DSP.1001250007851.H.A06	DSP.1001250007851.H.A07	DSP.1001250007851.H.A08	DSP.1001250007851.H.A09	DSP.1001250007851.H.A10	DSP.1001250007851.H.A11	DSP.1001250007851.H.A12	DSP.1001250007851.H.B01	DSP.1001250007851.H.B02	DSP.1001250007851.H.B03	DSP.1001250007851.H.B04	DSP.1001250007851.H.B05	DSP.1001250007851.H.B06	DSP.1001250007851.H.B07	DSP.1001250007851.H.B08	DSP.1001250007851.H.B09	DSP.1001250007851.H.B10	DSP.1001250007851.H.B11	DSP.1001250007851.H.B12	DSP.1001250007851.H.C01	DSP.1001250007851.H.C02	DSP.1001250007851.H.C03	DSP.1001250007851.H.C04	DSP.1001250007851.H.C05	DSP.1001250007851.H.C06	DSP.1001250007851.H.C07	DSP.1001250007851.H.C08	DSP.1001250007851.H.C09	DSP.1001250007851.H.C10	DSP.1001250007851.H.C11	DSP.1001250007851.H.C12	DSP.1001250007851.H.D01	DSP.1001250007851.H.D02	DSP.1001250007851.H.D03	DSP.1001250007851.H.D04	DSP.1001250007851.H.D05	DSP.1001250007851.H.D06	DSP.1001250007851.H.D07	DSP.1001250007851.H.D08	DSP.1001250007851.H.D09	DSP.1001250007851.H.D10	DSP.1001250007851.H.D11	DSP.1001250007851.H.D12	DSP.1001250007851.H.E01	DSP.1001250007851.H.E02	DSP.1001250007851.H.E03	DSP.1001250007851.H.E04	DSP.1001250007851.H.E05	DSP.1001250007851.H.E06	DSP.1001250007851.H.E07	DSP.1001250007851.H.E08	DSP.1001250007851.H.E09	DSP.1001250007851.H.E10	DSP.1001250007851.H.E11	DSP.1001250007851.H.E12	DSP.1001250007851.H.F01	DSP.1001250007851.H.F02	DSP.1001250007851.H.F03	DSP.1001250007851.H.F04	DSP.1001250007851.H.F05	DSP.1001250007851.H.F06	DSP.1001250007851.H.F07	DSP.1001250007851.H.F08	DSP.1001250007851.H.F09	DSP.1001250007851.H.F10	DSP.1001250007851.H.F11	DSP.1001250007851.H.F12	DSP.1001250007864.D.A02	DSP.1001250007864.D.A03	DSP.1001250007864.D.A04	DSP.1001250007864.D.A05	DSP.1001250007864.D.A06	DSP.1001250007864.D.A07	DSP.1001250007864.D.A08	DSP.1001250007864.D.A09	DSP.1001250007864.D.A10	DSP.1001250007864.D.B01	DSP.1001250007864.D.B02	DSP.1001250007864.D.B03	DSP.1001250007864.D.B04	DSP.1001250007864.D.B05	DSP.1001250007864.D.B06	DSP.1001250007864.D.B07	DSP.1001250007864.D.B08	DSP.1001250007864.D.B09	DSP.1001250007864.D.B10	DSP.1001250007864.D.B11	DSP.1001250007864.D.B12	DSP.1001250007864.D.C01	DSP.1001250007864.D.C02	DSP.1001250007864.D.C03	DSP.1001250007864.D.C04	DSP.1001250007864.D.C05	DSP.1001250007864.D.C06	DSP.1001250007864.D.C07	DSP.1001250007864.D.C08	DSP.1001250007864.D.C12	DSP.1001250007864.D.D01	DSP.1001250007864.D.D02	DSP.1001250007864.D.D03	DSP.1001250007864.D.D04	DSP.1001250007864.D.D05	DSP.1001250007864.D.D06	DSP.1001250007864.D.D07	DSP.1001250007864.D.D08	DSP.1001250007864.D.D09	DSP.1001250007864.D.D10	DSP.1001250007864.D.D11	DSP.1001250007864.D.D12	DSP.1001250007864.D.E01	DSP.1001250007864.D.E02	DSP.1001250007864.D.E03	DSP.1001250007864.D.E04	DSP.1001250007864.D.E05	DSP.1001250007864.D.E06	DSP.1001250007864.D.E07	DSP.1001250007864.D.E08	DSP.1001250007864.D.E09	DSP.1001250007864.D.E10	DSP.1001250007864.D.E11	DSP.1001250007864.D.E12	DSP.1001250007864.D.F01	DSP.1001250007864.D.F02	DSP.1001250007864.D.F03	DSP.1001250007864.D.F04	DSP.1001250007864.D.F05	DSP.1001250007864.D.F06	DSP.1001250007864.D.F07	DSP.1001250007864.D.F08	DSP.1001250007864.D.F09	DSP.1001250007864.D.F10	DSP.1001250007864.D.F11	DSP.1001250007864.D.F12	DSP.1001250007864.D.G01	DSP.1001250007864.D.G02	DSP.1001250007864.D.G03	DSP.1001250007864.D.G04	DSP.1001250007864.D.G05	DSP.1001250007864.D.G06	DSP.1001250007864.D.G07	DSP.1001250007864.D.G08	DSP.1001250007864.D.G09	DSP.1001250007864.D.G10	DSP.1001250007864.D.G11	DSP.1001250007864.D.G12	DSP.1001250007864.D.H01	DSP.1001250007864.D.H02	DSP.1001250007864.D.H03	DSP.1001250007864.D.H04	DSP.1001250007864.D.H05	DSP.1001250007864.D.H06	DSP.1001250007864.D.H07	DSP.1001250007864.D.H08	DSP.1001250007864.D.H09	DSP.1001250007864.D.H10	DSP.1001250007864.D.H11	DSP.1001250007864.D.H12	DSP.1001250007868.B.A02	DSP.1001250007868.B.A03	DSP.1001250007868.B.A04	DSP.1001250007868.B.A05	DSP.1001250007868.B.A06	DSP.1001250007868.B.A07	DSP.1001250007868.B.A08	DSP.1001250007868.B.A09	DSP.1001250007868.B.A10	DSP.1001250007868.B.A11	DSP.1001250007868.B.C01	DSP.1001250007868.B.C02	DSP.1001250007868.B.C03	DSP.1001250007868.B.C04	DSP.1001250007868.B.C05	DSP.1001250007868.B.C06	DSP.1001250007868.B.C07	DSP.1001250007868.B.C08	DSP.1001250007868.B.C09	DSP.1001250007868.B.C10	DSP.1001250007868.B.C11	DSP.1001250007868.B.C12	DSP.1001250007868.B.D01	DSP.1001250007868.B.D02	DSP.1001250007868.B.D03	DSP.1001250007868.B.D04	DSP.1001250007868.B.D05	DSP.1001250007868.B.D06	DSP.1001250007868.B.D07	DSP.1001250007868.B.D08	DSP.1001250007868.B.D09	DSP.1001250007868.B.D10	DSP.1001250007868.B.D11	DSP.1001250007868.B.D12	DSP.1002510007866.C.D10	DSP.1002510007866.C.D11	DSP.1002510007866.C.D12	DSP.1002510007866.C.E01	DSP.1002510007866.C.E02	DSP.1002510007866.C.E03	DSP.1002510007866.C.E04	DSP.1002510007866.C.E05	DSP.1002510007866.C.E06	DSP.1002510007866.C.E07	DSP.1002510007866.C.E08	DSP.1002510007866.C.E09	DSP.1002510007866.C.E10	DSP.1002510007866.C.E11	DSP.1002510007866.C.E12	DSP.1002510007866.C.F01	DSP.1002510007866.C.F02	DSP.1002510007866.C.F03	DSP.1002510007866.C.F04	DSP.1002510007866.C.F05	DSP.1002510007866.C.F06	DSP.1002510007866.C.F07	DSP.1002510007866.C.G10	DSP.1002510007866.C.G11	DSP.1002510007866.C.G12	DSP.1002510007866.C.H01	DSP.1002510007866.C.H03	DSP.1002510007866.C.H04	DSP.1002510007866.C.H05	DSP.1002510007866.C.H06	DSP.1002510007866.C.H07	DSP.1002510007866.C.H08	DSP.1002510007866.C.H09	DSP.1002510007866.C.H10	DSP.1002510007866.C.H11	DSP.1002510007866.C.H12
H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.562877934	0	1.706840152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.745504467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IN12	0	0	0	0	0	0	0	0	0.007157259	0	0	0	0	0	0.001688645	0	0	0	0	0	0	0	0	0	0	0.03575483	0	0	0	0	0	0	0	0	0.186718161	0	0	0	0	0	0	0	0	0.104666464	0	0	0	0	0	0	0	0	0	0.000326863	0	0	0.115924568	0	0.150662691	0	0	0.004152302	0	0.01893883	0	0	0.25740109	0.018975225	0	0.03034769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044425438	0	0.024831928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115552625	0.074110454	0.162399197	0	0	0	0	0	0	0	0.00019996	0	0	0	0	0.018669842	0.064728471	0	0	0.061048923	0.21598465	0.061644687	0.006781919	0.224568587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000850232	0	0.008410274	0	0.026131386	0	0.301694637	0.018441065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.184808211	0.038781577	0	0	0	0	0.033280457	0	0	0	0.059641123	0	0	0
IN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IN5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M	6.994867121	6.712015152	7.229614275	6.929793043	6.372360328	9.374576657	6.794602886	7.091234371	7.140190595	6.214886314	6.977435891	4.894805012	5.343370632	5.326884532	4.433779166	5.52635733	5.741384413	4.567266699	4.709862987	6.084088974	4.464189583	3.799072402	4.593696479	5.462947188	5.692101842	6.421045292	7.722506861	8.374839223	6.820779272	7.02482822	5.870691794	7.454064129	5.73733969	7.632316451	7.811971946	6.851803511	4.664706047	6.668768189	7.416719803	6.662041527	8.273900098	5.867169392	6.075475337	7.242609772	7.381331215	6.672579046	8.215109338	1.390719442	2.289585055	2.525199413	2.101191041	1.723582186	2.462819773	1.668584116	2.00527897	2.088421631	4.754970988	2.063789601	5.494439402	1.701808726	2.787847061	2.175957094	2.561056162	2.756564104	4.131581586	4.488944894	5.881558341	2.769582886	5.194548789	1.960200604	7.546229792	1.072508985	1.618557858	1.102201012	1.401404863	1.306655593	1.49941434	1.287126207	1.487197517	1.132541928	1.883000967	5.844864628	5.417100778	6.750686398	5.085854125	7.734368087	6.080069765	10.51548367	8.14245055	6.711091142	6.970948485	6.545691296	4.547724136	5.646872949	5.79835486	9.518135552	7.113397853	6.686380006	7.552566819	5.704341193	5.144793117	3.867514835	5.346432185	7.272672717	5.193747098	4.634157458	6.455459918	8.8646689	7.565423812	5.187460542	4.20272196	6.00596132	5.612837568	6.667841555	6.317272446	4.749814414	5.074165805	4.574709953	6.222294489	7.887520747	9.071479388	6.178619028	5.295441275	7.413917178	6.443205126	7.622923147	0.340815114	1.20923959	1.331133266	1.734025231	0.932792638	1.974435871	1.234235395	1.253108401	0.919592194	1.956735175	1.382046029	1.35411452	9.550696018	6.225451275	9.614976444	6.468180488	7.105470462	7.070876657	7.741698204	7.862495697	4.776390411	7.934607061	8.265082785	1.949579619	2.786311875	2.070077784	2.978519106	3.242177024	4.425219203	2.611886695	6.037378406	3.054513445	5.756623901	4.488193269	3.319320142	3.02470463	2.820470245	1.53837778	1.907325561	1.034596555	1.668835678	3.161279984	3.095845098	3.091685802	0.777074397	0.451571328	0.951680348	0.29035661	0.24357236	0.125561404	0.721584632	0.11170149	0.404194347	0.162717905	1.09868923	0.378830652	2.891411167	2.460797338	4.102401696	1.353036228	4.608303794	3.011940156	3.729929592	2.422287583	3.737780604	4.059398597	3.283211574	4.388699674	6.730195824	0.166150174	0.513491205	0.066988614	0.789624328	0.262297716	1.002651918	0.284604215	0.890407603	0.464150148	0.66140814	0.227932244	0.822487874	2.18107347	3.053407575	3.752802098	3.350874287	3.516476258	3.652253136	3.235642676	2.137618722	5.681308573	9.113866717	0.660199827	2.111469158	0.57051916	1.074052767	1.354881719	1.581704437	0.729850605	1.495351622	1.072010911	2.968497025	0.431284043	0.538543411	4.855279235	4.479096008
MNP1	0.203348254	0.842299533	0.723146265	0.523455587	0.342166193	0.273094131	0.61320102	0.616965112	0.69185393	0.482385367	0.455371073	0.041499667	0.824396689	0.576755515	1.048918674	0.798835842	0.542454697	0.66995235	0.327303821	0.504443331	0.218802545	0.893510941	0.690422709	0.486827213	0.764037473	0.436016115	0.575476648	0.253911261	0.90041199	0.399044596	0.438010293	0.592773946	0.273397331	0.056134074	0	0.150137318	0.246315784	0.497405579	0.536441491	0.34408517	0.250519143	0.67695307	0.383807389	0.215790573	0.213991849	0.356225397	0.134155564	0	0.142373389	0	0.105971156	0	0.208531238	0	0.034746908	0	0.087367733	0.014810973	0.333488257	0.358008894	0.504485952	0.318338177	0.294725221	0.113069244	0.655424532	0.879125825	0.053720208	0.292116149	0.064660867	0.112840187	0.089777924	0	0	0	0	0	0	0	0	0	0	0.067851461	0.025530077	0.086513167	0.189542324	0	0	0	0.052748762	0.070329957	0	0	0.014352578	0.010083241	0	0	0.025905814	0	0	0.065728064	0.081324129	0	0.141206806	0.041911092	0.037124797	0	0	0	0	0.035220906	0	0	0	0.005885888	0.103541596	0.000582535	0.455607023	0	0.092836582	0.014538904	0	0	0.162708815	0.045099439	0.179175239	0.017623743	0	0	0	0	0	0	0	0	0	0	0	0	0.055733079	0.039367334	0	0.76659142	0.63271404	0.253479506	0.745644499	0	0.068508038	0.185622581	0.507230195	0	0.045323596	0	0.024196419	0	0	0	0.042880516	0	0.115273619	0	0.010355204	0.026820448	0.128921298	0.213975975	0	0	0	0.071551734	0.117052491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.055484854	1.799693522	0.334981276	0.725255896	0.305919259	1.236104547	0.450881734	0.558393802	0.274914598	0.705595466	0.986842385	1.025007027	0	0	0.021533922	0	0	0	0	0.038424641	0	0	0	0	0.257709251	1.353902829	0.566053052	0.599664098	0.047688482	1.451475558	1.627714313	2.09535829	0.238792535	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16912943	0
MNP2	0.364319556	0.789700418	0.556031147	0.643717991	1.011874082	0.41578235	0.631197362	0.600973778	0.396120531	0.655670435	1.136787209	0.479321832	1.210398798	0.399374684	0.911595742	1.190677083	0.535374734	0.378614288	0.610437045	0.75878504	0.752133546	1.378050923	0.367058037	0.302784877	0.433742686	0.66410071	0.395543	0.347440481	0.56368719	1.822670032	0.639688812	0.578972535	0.67290601	0.45690224	0.428150196	0.613802692	0.837939562	1.071778759	0.841477372	0.523911813	0.727349131	0.555060317	0.787496974	0.298834854	0.323040746	0.903823571	0.613783524	0.048387215	0.249326478	0	0	0	0.081581674	0	0.173047993	0	0.034467016	0	0.165343319	0	0	0.086330152	0.140932625	0	0	0	0.620128095	0	0.021329229	0.237619218	0.26955763	0	0	0	0	0	0.063831413	0	0	0	0	0	0	0.283240214	0.035460595	0.319881392	0.085126328	0	0.041355617	0	0	0.027677704	0.061503059	0	0	0	0	0.05818401	0	0.056045795	0.149586729	0	0.103489411	0.067106677	0	0	0	0	0.137593422	0	0	0	0	0.177146252	0	0	0	0	0	0	0.09952869	0	0	0.089150504	0.025300231	0.2079219	0	0	0	0.102063529	0	0	0	0.073163394	0	0	0.052775474	0.148280857	0.0431888	0.055840367	0.067520606	0	0	0.016613552	0	0	0.280264894	0	0	0	0.059153029	0	0.020694076	0	0.097946339	0	0.176479531	0	0.117330047	0.146653939	0.124521722	0	0.051756194	0	0	0	0.007080942	0	0.106063186	0	0	0	0.009170677	0	0	0	0	0	0	0	0	0	0	0	0.08755242	0	0	0.269607499	0	0	0	0.305080619	0	0	0	0	0	0	0.00550509	0	0	0	0.046317298	0	0.04655765	0	0	0.034438812	0.296574642	0	0	0	0.163015612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MNP3	0.455683964	0.078345237	0.379342791	0.373392954	0.628834343	0.114592329	0.475540966	0.050214353	0.116766242	0.652778263	0.540241635	0.552669283	0	0.037532286	0	0.19403708	0.062401833	0.22757703	0.405526683	0.294770755	0.109266578	0.216380861	0.310177631	0.15623408	0.375696289	0.240676765	0.390137929	0.192232749	0.414564178	0.162578189	0.407781978	0.783627971	0.766383831	0.751042163	0.620034541	0.501158113	0.07533713	0.23573788	0.544950647	0.625817771	0.238504107	0.47672696	0.552798447	0.438098519	0.701262911	0.492989671	0.293094101	0.088108107	0.596754913	0	0.059109962	0.090837207	0.434022324	0	0	0	0.603503151	0.019485918	1.36882004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.783460178	0	0	0	0.004713422	0.23854853	0.051060967	0	0.13864115	0.265403841	0.049621175	0.444367786	0.060174434	0.063947226	0.10973697	0.08407099	0	0	0	0.038503189	0.223012627	0.160638553	0.080186712	0.077156823	0.000583375	0	0.185627606	0.333811029	0	0	0.12154265	0.146913158	0.022028551	0.047271234	0	0.014840697	0	0.117609682	0	0.038653169	0.116977719	0	0.219405916	0.08597246	0.207795096	0	0.006777871	0.243933789	0.06555196	0.126061869	0.151263542	0	0	0	0	0.15140639	0	0	0	0.040885431	0	0.020716357	0.208471171	0.244256169	0.17696223	0.227041283	0	0.096938635	0.070325578	0	0.348840822	0	0.493539467	0	0.254838037	0	0.23822977	0.126364947	0.392556265	0.13377714	0.919452122	0.0529382	0.53727954	0.587772813	0.400763514	0	0	0	0	0	0.060177755	0.126335929	0.315788406	0.033883795	0.002652914	0.037111044	1.289304402	0	0.297287035	0	0.014037647	0	0	0	0.336091168	0	0.591594279	0.22757473	0.369794356	0.0401507	0.147294082	0	0	0	0.045317677	0.05992936	0.029963804	0.517150504	0.366034588	0	0	0	0	0	0	0	0.007484001	0	0.043171461	0	0.03365911	0.142157156	0	0	0.0218589	0	0	0	0	0.031052566	0.218742185	0.330301702	0.284231843	0	0.08852157	0	0	0	0.178635395	0	0.20710181	0.057132557	0.061485364	0	0.509497891
MST	0.01936343	0.006733918	0.013083442	0.007173367	0.020733427	0.010600094	0.005368862	0.012900964	0.003267667	0.000307577	0.023493595	0.001978775	0.0202179	0.00905363	0.010147337	0.014376989	0.004110303	0.001784813	0.013904836	0.019380221	0.012362948	0.007122848	0.009499431	0.008442996	0.012321947	0.000997528	0.021463589	0.011742384	0.005597774	0.0134092	0.020767454	0.017452894	0.017743663	0.024775183	0.028117601	0.024958057	0	0.014576233	0.012008213	0.016884489	0.011079712	0.020776304	0.024692739	0.012646582	0.015010226	0.001446223	0.013073831	0.005774565	0	0	0	0	0.008562587	0	0	0.002903513	0.009713145	0	0.010479682	0.006548405	0.001494792	0	0	0	0.003363933	0.002468649	0	0.005484878	0	3.24E-06	0	0.003218725	0.003319857	0.004042258	0	0	0	0	0	0	0.005129555	0.003628446	0	0	0	0	0	0.001963048	0	0.004132228	0	0	0.009059065	0.004020319	0.01623858	0.000368872	0	0	0	0	0	0	0	0.020619671	0	0	0	0.001396153	0.002293794	0	0	0	0.00085986	0	0.003937981	0.011810158	0.004853317	0	0.001221339	0	0.010267483	0.001094344	0.003979263	0.00269714	0	0.01241528	0	0	0.002688232	0	0.002310183	0.012855824	0	0	0	0	0.0065376	0.001765828	0	0.003358532	0.007286474	0	0.010714333	0	0.003518265	0	0	0	0.006017635	0.010615939	0.033528008	0.025803525	0.025277139	0.027154482	0.033307239	0.027410174	0.051277078	0.033846956	0.053179403	0.091985235	0.053660005	0.005792333	0	0.021935821	0	0	0	0	0	0.00186902	0	0.000955109	9.58E-05	0.006574122	0.010729537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005292449	0	0	0	0	0	0.005103525	0	0	0.005973089	0	0	0.00333301	0	0	0	0.010933996	0.010007808	0	0	0.00340292	0	0.011556162	0.002417293	0	0	0.009047376	0.006231308	0	0.006370182
N1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.052506872	0.037826588	0.077528433	0	0.04985141	0	0.069547491	0	0.018846684	0.092379436	0.044980008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021430107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
